SignID,Sign Class,Sub Class,Color,Background Color,Legend Color,MUTCD Number,Orientation,Overall Cond,Shape,Sign Backing Material,Sign Sheeting,Sign Legend,Sign Height,Sign Length,Sign Width,Replace Year,Pole#,Alt Sign ID,Sign Rec #,X Coordinate,Y Coordinate
3000223,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nphtc,92,18,12,2017,11724,1816,6301,1022814.299,1247606.706
3000225,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nphtc,82,18,12,2017,12574,1818,6724,1022814.299,1247606.706
3000226,Regulatory,Traffic Flow,WHT,Red,White,R1-1,W,Good,Octagon,Aluminum,HIP,STOP,0,30,30,2017,9234,1819,3305,1022828.903,1250967.411
3000228,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nptsos,57,18,12,2017,12868,1820,5453,1024189.851,1248180.095
3000229,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,nptsos,84,18,12,2018,12135,1822,4900,1016640.067,1250977.164
3000230,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,nptsos,86,18,12,2018,11289,1823,4917,1016640.067,1250977.164
3000231,Regulatory,,WHT,,,,S,Fair,,Aluminum,HIP,nphtc,80,18,12,2017,10987,1824,6648,1023020.248,1248683.479
3000232,Regulatory,,WHT,,,,S,Good,,Aluminum,HIP,nphtc,76,18,12,2017,16060,1825,6779,1023303.299,1248463.023
3000233,Regulatory,Traffic Flow,WHT,Red,White,R1-1,S,Good,Octagon,Aluminum,HIP,STOP,0,30,30,2017,11487,1826,2321,1023303.299,1248463.023
3000235,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nphtc,84,18,12,2017,10835,1828,5898,1023303.299,1248463.023
3000236,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nphtc,88,18,12,2017,10182,1829,6782,1023303.299,1248463.023
3000238,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nphtc,82,18,12,2017,8762,1831,7046,1019981.889,1249772.06
3000239,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nphtc,91,18,12,2017,16756,1832,6443,1026091.46,1256121.646
3000241,Regulatory,Traffic Flow,WHT,Red,White,R1-1,W,Critical,Octagon,Aluminum,HIP,STOP,0,30,30,2019,16785,1834,2956,1017980.551,1252761.05
3000243,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,nptsos,57,18,12,2018,9882,1835,7107,1018829.102,1252153.91
3000245,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,nptsos,48,18,12,2018,16065,1837,7558,1018829.102,1252153.91
3000247,Directional,,Other,,,,E,Good,,Other,,GREGORY ST,0,10,0,,8848,1838,389,1021511.375,1251283.726
3000248,Directional,,Other,,,,S,Good,,Other,,MAIN ST,0,10,0,,8848,1839,411,1016866.546,1257695.574
3000250,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,nptsos,86,18,12,2018,13119,1841,5147,1018873.808,1251370.532
3000251,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,np2t6taz,86,18,12,2024,11190,1843,7508,1019591.851,1249767.536
3000253,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,np2t6taz,52,18,12,2024,10926,1844,6292,1019591.851,1249767.536
3000255,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,np2t6taz,79,18,12,2024,9021,1846,7647,1019591.851,1249767.536
3000256,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,np2t6taz,79,18,12,2024,15659,1848,5745,1016870.779,1254557.559
3000257,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,np2t6taz,79,18,12,2024,11124,1849,5422,1019540.236,1249811.086
3000259,Regulatory,One Way,Other,White,Black,R6-1L,N,Good,Rectangle,Other,,ONE WAY ENCLOSED IN LEFT ARROW,0,36,12,,11539,1850,4175,1022151.849,1255522.08
3000260,Regulatory,One Way,Other,White,Black,R6-1R,S,Fair,Rectangle,Other,,ONE WAY ENCLOSED IN RIGHT ARROW,0,36,12,,11539,1851,4194,1017032.197,1254750.419
3000261,Regulatory,Traffic Flow,WHT,Red,White,R1-1,N,Good,Octagon,Aluminum,HIP,STOP,0,30,30,2024,10219,1852,3238,1014772.754,1256676.542
3000262,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,aw,72,6,18,2024,10219,1853,3517,1013960.198,1257803.661
3000267,Regulatory,Selective Exclusion,WHT,Red,White,R5-1,N,Fair,Square,Aluminum,HIP,DO NOT ENTER,0,30,30,2024,16128,1856,4160,1019562.608,1250692.412
3000269,Regulatory,Traffic Flow,WHT,Red,White,R1-1,S,Good,Octagon,Aluminum,HIP,STOP,0,30,30,2017,16128,1855,2282,1030541.288,1244513.033
3000281,Informational,Bicycle Traffic,Other,Green,White,D1-1c,W,Good,Rectangle,Other,,BICYCLE DESTINATION AND ARROW AND DISTANCE (1 LINE),0,0,6,,12982,1864,222,1023306.998,1246073.126
3000284,Regulatory,One Way,WHT,White,Black,R6-2L,N,Good,Rectangle,Aluminum,HIP,ONE WAY LEFT,0,24,30,2027,15301,1871,4202,1021627.602,1249431.227
3000285,Regulatory,One Way,WHT,White,Black,R6-2R,S,Good,Rectangle,Aluminum,HIP,ONE WAY RIGHT,0,24,30,2020,15301,1872,4223,1015769.531,1255706.088
3000286,Regulatory,Selective Exclusion,Other,Red,White,R5-1,E,Good,Square,Other,,DO NOT ENTER,0,30,30,,11873,1873,4159,1013792.229,1257403.819
3000288,Regulatory,Traffic Flow,WHT,Red,White,R1-1,N,Good,Octagon,Aluminum,HIP,STOP,0,30,30,2024,15766,1875,2882,1020038.017,1258422.799
3000289,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,aw,74,6,18,2024,15766,1878,3380,1020731.31,1258406.925
3000290,Regulatory,Traffic Flow,WHT,Red,White,R1-1,S,Good,Octagon,Aluminum,HIP,STOP,0,30,30,2017,15766,1876,3162,1024653.352,1248482.587
3000291,Regulatory,,WHT,,,,S,Good,,Aluminum,HIP,aw,74,6,18,2017,15766,1877,3396,1019008.805,1253693.704
3000293,Regulatory,Turn Prohibition,WHT,White,Red,R3-1,N,Good,Square,Aluminum,HIP,NO RIGHT TURN,0,24,24,2024,13098,1879,3897,1019008.805,1253693.704
3000294,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,npat,87,18,12,2024,11579,1881,6239,1018426.441,1253939.277
3000295,Regulatory,One Way,WHT,White,Black,R6-1L,N,Good,Rectangle,Aluminum,HIP,ONE WAY ENCLOSED IN LEFT ARROW,0,36,12,2027,11145,1882,4182,1020343.926,1258389.785
3000296,Regulatory,One Way,WHT,White,Black,R6-1R,S,Good,Rectangle,Aluminum,HIP,ONE WAY ENCLOSED IN RIGHT ARROW,0,36,12,2020,11145,1883,4191,1014034.619,1258793.754
3000297,Regulatory,Selective Exclusion,Other,Red,White,R5-1,E,Critical,Square,Other,,DO NOT ENTER,0,30,30,,12169,1884,4161,1020476.358,1253762.222
3000304,Informational,Bicycle Traffic,Other,Green,White,D1-1c,E,Good,Rectangle,Other,,BICYCLE DESTINATION AND ARROW AND DISTANCE (1 LINE),0,0,6,,10416,1885,242,1020476.358,1253762.222
3000311,Regulatory,,Other,,,,N,Good,,Other,,,0,9,12,,16346,1892,2201,1026489.166,1249985.696
3000317,Informational,Bicycle Traffic,Other,Green,White,D1-1c,N,Good,Rectangle,Other,,BICYCLE DESTINATION AND ARROW AND DISTANCE (1 LINE),0,0,6,,15013,1898,291,1031879.346,1246269.268
3000319,School,,FY,Green,Black,S1-1,N,Good,Pentagon,Aluminum,HIP,SCHOOL,0,36,36,2025,12737,1903,7942,1031879.346,1246269.268
3000320,Warning,Supplemental Information,FY,Yellow,Black,W16-9p,N,Good,Rectangle,Aluminum,HIP,AHEAD (PLAQUE),0,24,12,2025,12737,1904,8969,1014812.759,1257898.403
3000321,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,nptsos,66,18,12,2024,12737,1905,5001,1014812.759,1257898.403
3000322,School,Speed Regulation,FY,Green,Black,S4-5,E,Good,Diamond,Aluminum,HIP,REDUCED SCHOOL SPEED LIMIT AHEAD,0,36,36,2019,12856,1907,7998,1017454.563,1253667.429
3000323,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,nptsos,59,18,12,2018,8885,1908,5588,1019868.463,1253156.42
3000324,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,ssl20,70,48,24,2021,16099,1909,7800,1015865.323,1258832.37
3000329,School,,FY,Green,Black,S1-1,E,Good,Pentagon,Aluminum,HIP,SCHOOL,0,36,36,2019,15777,1912,7930,1020080.354,1250611.662
3000330,Warning,Supplemental Information,FY,Yellow,Black,W16-7p,E,Good,Rectangle,Aluminum,HIP,DOWNWARD DIAGONAL ARROW (PLAQUE),0,24,12,2019,15777,1913,8855,1020080.354,1250611.662
3000331,Regulatory,Turn Prohibition,WHT,White,Red,R3-2,E,Good,Square,Aluminum,HIP,NO LEFT TURN,0,24,24,2018,15777,1910,4022,1014384.189,1252905.713
3000332,School,,FY,Green,Black,S1-1,W,Good,Pentagon,Aluminum,HIP,SCHOOL,0,36,36,2018,15777,1911,7892,1023334.67,1250100.989
3000333,Warning,Supplemental Information,Other,Yellow,Black,W16-7p,W,Good,Rectangle,Other,,DOWNWARD DIAGONAL ARROW (PLAQUE),0,24,12,,15777,1914,8838,1023334.67,1250100.989
3000337,Regulatory,Turn Prohibition,WHT,White,Red,R3-2,S,Good,Square,Aluminum,HIP,NO LEFT TURN,0,24,24,2017,14522,1920,4021,1019447.196,1257560.373
3000340,Regulatory,,WHT,,,,S,Good,,Aluminum,HIP,ssl20,5,48,24,2020,14874,1922,7864,1022918.818,1248014.502
3000341,Regulatory,One Way,Other,White,Black,R6-1L,W,Good,Rectangle,Other,,ONE WAY ENCLOSED IN LEFT ARROW,0,36,12,,15994,1923,4181,1016462.563,1255043.099
3000342,Regulatory,One Way,Other,White,Black,R6-1R,S,Good,Rectangle,Other,,ONE WAY ENCLOSED IN RIGHT ARROW,0,36,12,,17054,1925,4199,1016462.563,1255043.099
3000343,Regulatory,One Way,Other,White,Black,R6-1L,N,Good,Rectangle,Other,,ONE WAY ENCLOSED IN LEFT ARROW,0,36,12,,17054,1924,4177,1020095.578,1255311.112
3000344,School,,WHT,White,Black,S5-2,E,Fair,Rectangle,Aluminum,HIP,END SCHOOL ZONE,0,24,30,2021,16052,1926,8036,1020095.578,1255311.112
3000345,Regulatory,,WHT,,,,E,Good,,Aluminum,Other,nptsos,61,18,12,,16052,1927,4671,1024234.295,1244935.341
3000347,Warning,Non-Vehicular Traffic,FY,Yellow,Black,W11-2,E,Good,Diamond,Aluminum,HIP,PEDESTRIAN,0,30,30,2019,13929,1928,8559,1017668.864,1253673.176
3000348,Warning,Supplemental Information,FY,Yellow,Black,W16-7p,E,Good,Rectangle,Aluminum,HIP,DOWNWARD DIAGONAL ARROW (PLAQUE),0,24,12,2019,13929,1929,8793,1019433.935,1257565.683
3000349,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,nptsos,80,18,12,2018,15203,1930,4938,1019433.935,1257565.683
3000350,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,nptsos,81,18,12,2018,10393,1931,6426,1019356.244,1257884.156
